ts,run_rel_s,tid,comm,state,utime_ticks,stime_ticks
1789633737,5910,2932553,decklinkaudiosr,S,1579,526
1789633737,5910,2932554,queue0:src,S,187,1382
1789633737,5910,2932555,decklinkvideosr,S,4524,45664
1789633737,5910,2932556,queue3:src,S,849,433
1789633737,5910,2932557,queue2:src,S,1127,417
1789633737,5910,2932558,decklinkvideosr,S,2334,422
1789633737,5910,2932559,decklinkaudiosr,S,983,1584
1789633737,5910,2932560,decklinkvideosr,S,2328,47090
1789633737,5910,2932561,program-audio-q,S,1472,490
1789633737,5910,2932562,program-video-q,S,1045,1711
1789633737,5910,2932563,program-asrc-a:,S,314,2180
1789633737,5910,2932564,program-asrc-b:,S,2369,107
1789633737,5910,2932565,program-vsrc-a:,S,672,1180
1789633737,5910,2932566,program-vsrc-b:,S,1479,1073
1789633737,5910,2932567,media-agent,S,249,26
1789633737,5910,2932568,media-agent,S,12,2
1789633737,5910,2932569,media-agent,S,11,37
1789633739,5912,2932474,media-agent,S,29,19
1789633739,5912,2932483,media-agent,S,0,0
1789633739,5912,2932484,media-agent,S,0,0
1789633739,5912,2932485,media-agent,S,0,0
1789633739,5912,2932486,media-agent,S,0,0
1789633739,5912,2932487,media-agent,S,0,0
1789633739,5912,2932488,media-agent,S,2,30
1789633739,5912,2932489,media-agent,S,0,0
1789633739,5912,2932490,pool-spawner,S,0,0
1789633739,5912,2932491,queue1:src,S,144,1299
1789633739,5912,2932496,decklinkvideosr,S,202,2199
1789633739,5912,2932547,media-agent,S,11,1
1789633739,5912,2932551,media-agent,S,86,96
1789633739,5912,2932553,decklinkaudiosr,S,1580,526
1789633739,5912,2932554,queue0:src,S,187,1383
1789633739,5912,2932555,decklinkvideosr,S,4524,45683
1789633739,5912,2932556,queue3:src,S,849,433
1789633739,5912,2932557,queue2:src,S,1128,418
1789633739,5912,2932558,decklinkvideosr,S,2335,422
1789633739,5912,2932559,decklinkaudiosr,S,983,1585
1789633739,5912,2932560,decklinkvideosr,S,2328,47110
1789633739,5912,2932561,program-audio-q,S,1472,490
1789633739,5912,2932562,program-video-q,S,1045,1713
1789633739,5912,2932563,program-asrc-a:,S,315,2180
1789633739,5912,2932564,program-asrc-b:,S,2370,107
1789633739,5912,2932565,program-vsrc-a:,S,672,1180
1789633739,5912,2932566,program-vsrc-b:,S,1480,1073
1789633739,5912,2932567,media-agent,S,250,26
1789633739,5912,2932568,media-agent,S,12,2
1789633739,5912,2932569,media-agent,S,11,37
1789633741,5914,2932474,media-agent,S,29,19
1789633741,5914,2932483,media-agent,S,0,0
1789633741,5914,2932484,media-agent,S,0,0
1789633741,5914,2932485,media-agent,S,0,0
1789633741,5914,2932486,media-agent,S,0,0
1789633741,5914,2932487,media-agent,S,0,0
1789633741,5914,2932488,media-agent,S,2,30
1789633741,5914,2932489,media-agent,S,0,0
1789633741,5914,2932490,pool-spawner,S,0,0
1789633741,5914,2932491,queue1:src,S,144,1299
1789633741,5914,2932496,decklinkvideosr,S,202,2200
1789633741,5914,2932547,media-agent,S,11,1
1789633741,5914,2932551,media-agent,S,86,96
1789633741,5914,2932553,decklinkaudiosr,S,1580,526
1789633741,5914,2932554,queue0:src,S,187,1383
1789633741,5914,2932555,decklinkvideosr,S,4525,45693
1789633741,5914,2932556,queue3:src,S,849,433
1789633741,5914,2932557,queue2:src,S,1128,418
1789633741,5914,2932558,decklinkvideosr,S,2336,422
1789633741,5914,2932559,decklinkaudiosr,S,983,1585
1789633741,5914,2932560,decklinkvideosr,S,2328,47122
1789633741,5914,2932561,program-audio-q,S,1473,491
