cycle,ts,rss_kb,fd,threads,dropped,clock_lost,sw_epoch,tl_epoch,frames_v,frames_a,observed,target
146,1788844031,1276628,14,29,0,0,146,0,125388,167156,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
147,1788844060,1276628,14,29,0,0,147,0,126252,168307,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
148,1788844089,1276628,14,29,0,0,148,0,127116,169460,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
149,1788844118,1276628,14,29,0,0,149,0,127981,170612,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
150,1788844147,1276628,14,29,0,0,150,0,128847,171767,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
151,1788844175,1276628,14,29,0,0,151,0,129712,172920,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
152,1788844204,1276628,14,29,0,0,152,0,130575,174071,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
153,1788844233,1276628,14,29,0,0,153,0,131439,175223,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
154,1788844262,1276628,14,29,0,0,154,0,132302,176374,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
155,1788844291,1276628,14,29,0,0,155,0,133169,177529,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
156,1788844319,1276628,14,29,0,0,156,0,134034,178681,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
157,1788844348,1276632,14,29,0,0,157,0,134898,179834,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
158,1788844377,1276632,14,29,0,0,158,0,135762,180985,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
159,1788844406,1276632,14,29,0,0,159,0,136626,182138,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
160,1788844435,1276632,14,29,0,0,160,0,137493,183293,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
161,1788844464,1276632,14,29,0,0,161,0,138358,184446,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
